label,Question 
invalid,Questions related to mathematical basic questions.
invalid,Questions about SOM
valid,Linear and Non Linear FEA
invalid,Basic questions of Engineering, Mechanism
valid,Strength of material
invalid,Aerodynamics
invalid,ODE
invalid,PDE
invalid,Questions about thesis & project work done in academic curriculum
invalid,About vibration
invalid,Mechanics
invalid,FEM
valid,Questions about if you got GE offer before joining Quest what will you do?
invalid,Basic engineering fundamentals
invalid,Springs & vibrations
invalid,About Quest
invalid,Questions about the role of flywheel in automobile field and all questions related to machines
invalid,Internship & projects
invalid,IC engines
invalid,Manufacturing
invalid,Question about refining process
invalid,Summer internship
valid,Simulation work & software used
invalid,About mechanical properties of materials and manufacturing process
invalid,Separation process
invalid,Process control & Dynamics
invalid,Chemical process industries, engine oil
valid,Fluid mass transfer, pumps, condenser
valid,A bit of designing related
invalid,Refinery process
valid,Distillation column,reboiler,condenser
invalid,BTP & internship
invalid,Questions related to Vector algebra
valid,Math of JEE
invalid,Optimization of variable
invalid,Molecular simulation
valid,Numerical methods for engineers
valid,Where do you see yourself after 5 years?
invalid,Questions related to Family background?
valid,What values you consider as a person?
valid,Adaptability problem?
valid,Strengths and weaknesses.
valid,Why you want to join the company?
valid,Who are its competitors?
valid,Do you depend on your own knowledge or copy somebody else?
valid,Would you prefer a male or female boss?
valid,Question like minimize the cost of the pen, what innovations can you do with it?
valid,Fluid flow and CFD
valid,Strength of materials
invalid,Vibrations
valid,SI and CI engine
invalid,Turbocharger, Friction, Combustion
valid,Draw stress diagram
valid,Where is maximum stress?
valid,What are various heat treatments to lower stresses,
valid,Probability of fracture in rod
valid,Which gas is most harmful of all emissions
valid,Elasticity, fracture and fatigue
valid,Why Morgan Stanley?
valid,What between Tower and Morgan Stanley?
invalid,Strengths/weakness
valid,What is the job profile offered ? Why not phd?
valid,Minimize the cost of the pen, what innovations can you do with it?
valid,Prove that for N>= a, N> N^.5 + N^(1/3)+N^(1/4)
valid,Statisticss, Algorithms
valid,x, y are random variables with probability distribution ke^(-kx) and ue^(-ux). What is the dist. for min(x,y)
valid,An organism dies out with prob. p and spawns into 2 with prob (1-p). what is the prob. that starting from 1,the organism will die out?
valid,In a unit circle, p is chosen uniformly on the circle and q inside the circle, what is the prob. that the rectangle is inside the circle?
valid,Find a local minima of an array in o(log n)? In a functional program
valid,Write a code to sort a list without pipes?
valid,Find an even length palindrome in a string in o(n)?
valid,A is a matrix vi's are n linear vectors s.t. Avi= Vj a<=j<=n, what are the possible values of |A|?
valid,A and B play a game with unfair count with P[Heads]= p. they count # of heads and tails .if # of heads > #tails +1 at any point, A wins.Find the prob. that A wins
valid,Given a sorted array find two element (i,j) s.t. i+j =x in O(n) time?
invalid,Question on bubble sort : Given random permutation, suppose i run bubble sort on it.
valid,What is the prob. that element at 20th position lands up at 31st position after the first iteration?
valid,A rod at length l, I randomly put 100 ants in the rod .each ant moves left and right in random direction with l m/s .what is the expected no. of collisions after 30 secs?
valid,In how many ways can i permute n numbers 1 2 3...n so that all the no.s between u and i+1 are less than i (for all i in the permutation)?
valid,Find f(n) : pdt F(x) cdf. the value of k> 0 a constant  -inf S +inf f(x)*F(kx) dx   x follows normal standard distribution?
valid,Number of inversions in an array in O(nlogn) time?
valid,Given a chessboard 8X8 I put numbers from 1 to 8 in it in such a way that no. x is the mean/average of its neighbor.  What is the range of the numbers?
valid,Why ANZ?
valid,Future Plans?
valid,Differentiate ANZ from others
valid,Stats and credit risk
valid,Why Rio Tinto?
invalid,DR-related
valid,Why should we hire you?
valid,If not Rio Tinto then what?
valid,Extracurricular and POR
valid,Why Australia?
valid,Why not a field that fits your thesis?
invalid,Questions related to pumps
valid,Contribution to safety
invalid,Manufacturing, safety
invalid,Basic questions on resume.
valid,Show you are interested in company.
valid,What new innovations you made.
invalid,Questions related to Vector algebra
valid,Math of JEE
invalid,Optimization of variable
invalid,Molecular simulation
valid,Numerical methods for engineers.
valid,There is a five floored building with one exit at the bottom and one at the top. It takes 1 minute to from one floor to another. There are n people in the building. There is a fire and no one can see anything but they start running for the exits. They can change directions if they see somebody coming from the opposite direction. Whats the maximum time to evacuate them all
valid,\xc3\xa2\xe2\x82\xac\xc5\x93Our client is an SME owning a speciality exotic food restaurant in Mumbai. He wants to open up new restaurants in other metro cities. Suggest if it is a good idea or not. Also, come up with metrics used to arrive at the decision.\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,Tell me about yourself?
valid,What do you know about our firm?
valid,Why Essex?
valid,Why You?
valid,Given a matrix which sorted both column wise and row wise and an integer X, find whether two elements A and B are present in the matrix such that A + B = X
valid,Tell me about yourself in brief
valid,What are the losses in pipes, how to design a water system for a MS building
invalid,Questions related to Bernoulli Principle and fluid Mechanics
valid,What are you weakness and what are you doing to overcome it?
valid,Tell me about your strengths?
valid,Why we should hire you?
invalid,Monte Carlo Simulation
valid,Why you do not want to for Higher studies
valid,Tell me about yourself
valid,What are your strong points?
valid,What type of work do you expect in Paypal?
valid,Any suggestions for Paypal or Ebay website?
valid,Give instance when you stood up for your belief and convinced others to go along with you
valid,How did you stopped someone doing something that is not right...?
valid,Your client is a consumer goods company in Vietnam. You have to advice them how to maximize their potential in the next 5 years
valid,Tell us more about yourself
valid,Explain your DDP project
valid,Do you know about Femto-cells?
valid,Why do you want to join company?
valid,I was asked to tell something about myself. I focused on my Technical Skills( projects, BTP. Tried to present my interest in Energy sector and in technology in general), then my POR where I told about various initiatives and responsibilities I have been involved in my four years and then my outside IITK experiences, my interns and other experiences
